event_id,deccan_herald,firstpost,hindustan_times,india_today,indian_express,ndtv,news18,the_hindu,the_new_indian_express,the_times_of_india,theprint
EVT_00121,0,0,1,0,0,0,0,0,0,0,0
EVT_00122,0,0,0,0,0,1,0,0,0,1,0
EVT_00123,0,0,0,0,0,0,0,1,0,0,0
EVT_00124,0,0,0,0,0,0,0,1,0,0,0
EVT_00125,0,0,0,1,0,0,0,0,0,0,0
EVT_00126,0,0,0,0,0,1,0,0,0,0,0
EVT_00127,0,0,0,0,0,0,0,0,0,1,0
EVT_00128,0,0,0,0,0,0,0,1,0,0,0
EVT_00129,0,0,0,0,0,0,0,1,0,0,0
EVT_00130,0,0,0,0,0,0,0,1,0,0,0
EVT_00131,0,0,0,0,0,0,0,1,0,0,0
EVT_00132,1,0,0,0,0,0,0,0,0,0,0
EVT_00133,0,0,0,0,0,0,0,1,0,0,0
EVT_00134,0,0,0,1,0,0,0,0,0,0,0
EVT_00136,0,0,0,0,0,0,0,0,0,1,0
EVT_00137,0,1,0,0,0,0,0,0,0,0,0
EVT_00138,0,0,0,0,0,0,0,0,0,1,0
EVT_00139,0,0,0,1,0,0,0,0,0,0,0
EVT_00140,0,0,0,0,0,0,0,0,0,0,1
EVT_00141,0,1,0,0,0,0,0,0,0,0,0
EVT_00142,0,0,0,0,0,0,0,0,0,1,0
EVT_00144,0,1,0,0,0,0,0,0,0,0,0
EVT_00145,0,0,0,0,0,0,0,0,0,1,0
EVT_00149,0,0,0,0,0,0,0,0,0,0,1
EVT_00152,0,0,0,0,0,0,0,0,0,0,1
EVT_00154,0,0,0,0,0,0,0,0,0,1,0
EVT_00155,0,0,0,0,0,0,0,0,0,0,1
EVT_00156,0,0,0,0,0,0,0,0,0,1,0
EVT_00157,0,0,0,0,0,0,0,0,0,1,0
EVT_00159,0,0,0,0,0,0,0,0,0,0,1
EVT_00161,0,0,0,0,0,0,0,0,0,1,0
EVT_00164,0,0,0,0,0,0,0,0,0,1,0
EVT_00171,0,0,0,0,0,0,1,0,0,0,0
EVT_00172,0,0,0,0,0,0,1,0,0,0,0
EVT_00173,0,0,0,0,0,0,1,0,0,0,0
EVT_00175,0,1,0,0,0,0,0,0,0,0,0
