event_id,canonical_target,deccan_herald,firstpost,hindustan_times,india_today,indian_express,ndtv,news18,the_hindu,the_new_indian_express,the_times_of_india,theprint
EVT_00045,Vindhyas,0,0,0,0,0,0,0,0,0,0,1
EVT_00045,Yadav,0,0,0,0,0,0,0,0,0,0,1
EVT_00046,Congress,0,0,2,0,0,0,3,0,0,0,0
EVT_00046,Jabbar,0,0,0,0,0,0,1,0,0,0,0
EVT_00046,Samsher Shamashankarappa,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,Amit Shah,0,0,0,0,0,0,2,0,0,0,0
EVT_00060,BR,0,0,0,0,0,0,1,0,0,0,0
EVT_00060,Chidambaram,1,0,0,0,0,0,0,0,0,0,0
EVT_00060,Delimitation,0,0,0,0,0,0,2,0,0,0,0
EVT_00060,Delimitation bill,0,0,2,0,0,0,0,0,0,0,0
EVT_00060,Gandhi,0,0,2,0,0,0,0,0,0,0,0
EVT_00060,Govt,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,Heartland,0,0,0,0,0,0,1,0,0,0,0
EVT_00060,KA,0,0,0,0,0,0,1,0,0,0,0
EVT_00060,Kharge,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,Lok Sabha,0,0,4,0,0,0,0,0,0,0,0
EVT_00060,MK Stalin,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,NDA,0,0,3,0,0,0,0,0,0,0,0
EVT_00060,PM Modi,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,Rajeev Chandrakhundri,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,TN,0,0,0,0,0,0,1,0,0,0,0
EVT_00060,Trinamool Congress,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,UP,0,0,0,0,0,0,1,0,0,0,0
EVT_00060,Yadav,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,delimitation bill,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,reservation for women,0,0,1,0,0,0,0,0,0,0,0
EVT_00060,support,0,0,1,0,0,0,0,0,0,0,0
EVT_00062,S Jaishankar,0,0,0,0,0,0,0,0,0,1,0
EVT_00064,BJP,0,0,1,0,4,0,0,0,0,0,0
EVT_00064,Congress,0,0,3,0,0,0,0,0,0,0,0
EVT_00064,DMK,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,Delimitation provisions in the bill,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,MK Stalin,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,Mallikarjug Kharge,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,Mamata Banerjee,0,0,0,0,3,0,0,0,0,0,0
EVT_00064,Samajwadi Party,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,Trinamool Congress,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,Venugopal,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,Women's reservation,0,0,1,0,0,0,0,0,0,0,0
EVT_00064,government,0,0,0,0,0,0,1,0,0,0,0
EVT_00065,Akhilesh,0,0,0,0,0,0,2,0,0,0,0
EVT_00065,Akhilesh Yadav,0,0,1,0,0,0,0,0,0,0,0
EVT_00065,AkhileshYadav,0,0,1,0,0,0,0,0,0,0,0
EVT_00065,BJP,0,0,0,1,0,0,0,0,0,0,0
EVT_00065,Congress,0,0,0,3,0,0,0,0,0,0,0
EVT_00065,Delimitation,0,0,0,0,0,0,4,0,0,0,0
EVT_00065,Delimitation Bill,0,0,0,0,0,0,1,0,0,0,0
EVT_00065,PM Modi,0,0,5,11,0,0,7,0,0,0,0
EVT_00065,Priya Gandhi Vadra,0,0,0,1,0,0,0,0,0,0,0
EVT_00065,Samajwadi Party,0,0,1,0,0,0,0,0,0,0,0
EVT_00065,Women's quota law,0,0,0,0,0,0,1,0,0,0,0
EVT_00065,reservation bill,0,0,2,0,0,0,0,0,0,0,0
EVT_00065,women's reservation and delimitation bill,0,0,2,0,0,0,0,0,0,0,0
EVT_00067,Akhilesh Yadav,0,0,0,0,1,0,0,0,0,0,0
EVT_00067,Amit Shah,0,0,1,0,6,0,2,0,0,0,1
EVT_00067,BJP,0,0,2,2,0,0,2,0,0,0,0
EVT_00067,Congress,0,0,0,3,0,0,0,0,0,0,0
EVT_00067,Gandhi,0,0,0,1,0,0,0,0,0,0,0
EVT_00067,INDIA,0,0,0,0,0,0,1,0,0,0,0
EVT_00067,NDA,0,0,0,0,0,0,2,0,0,0,0
EVT_00067,PM Modi,0,0,0,1,0,0,0,0,0,0,0
EVT_00067,Rahul Gandhi,0,0,0,0,0,0,0,0,0,0,1
